occasion,section,date,time,tag_id,tag_id2,duplicate,ghost_tag
1,6,01/12/2022,13:33:26.000,900.226001698507,ID900.226001698507,Yes,Yes
1,6,01/12/2022,13:33:34.000,900.226001698937,ID900.226001698937,Yes,Yes
1,6,01/12/2022,13:33:36.000,900.226001698507,ID900.226001698507,Yes,Yes
1,6,01/12/2022,13:33:47.000,900.226001698937,ID900.226001698937,Yes,Yes
1,6,01/12/2022,13:33:57.000,900.226001698937,ID900.226001698937,Yes,Yes
1,6,01/12/2022,13:34:09.000,900.226001698937,ID900.226001698937,Yes,Yes
1,7,01/12/2022,13:35:37.000,989.002009085551,ID989.002009085551,Yes,Yes
1,7,01/12/2022,13:35:44.000,900.226001697236,ID900.226001697236,No,Yes
1,7,01/12/2022,13:35:55.000,900.226001697236,ID900.226001697236,Yes,Yes
1,7,01/12/2022,13:36:13.000,900.226001697236,ID900.226001697236,Yes,Yes
1,7,01/12/2022,13:36:24.000,900.226001697519,ID900.226001697519,No,Yes
1,7,01/12/2022,13:36:35.000,900.226001697519,ID900.226001697519,Yes,Yes
1,7,01/12/2022,13:37:24.000,900.226001698286,ID900.226001698286,No,No
1,7,01/12/2022,13:37:36.000,900.226001698286,ID900.226001698286,Yes,No
1,8,01/12/2022,13:38:11.000,989.002009085551,ID989.002009085551,Yes,Yes
1,8,01/12/2022,13:38:26.000,900.226001697275,ID900.226001697275,No,Yes
1,8,01/12/2022,13:38:37.000,900.226001697275,ID900.226001697275,Yes,Yes
1,8,01/12/2022,13:38:49.000,900.226001697275,ID900.226001697275,Yes,Yes
1,8,01/12/2022,13:40:01.000,900.226001698334,ID900.226001698334,No,Yes
1,8,01/12/2022,13:40:09.000,900.226001167755,ID900.226001167755,No,No
1,8,01/12/2022,13:40:18.000,900.226001698334,ID900.226001698334,Yes,Yes
1,9,01/12/2022,13:40:43.000,989.002009085551,ID989.002009085551,Yes,Yes
1,9,01/12/2022,13:41:06.000,900.226001697267,ID900.226001697267,No,No
1,9,01/12/2022,13:41:39.000,900.226001698402,ID900.226001698402,No,Yes
1,9,01/12/2022,13:41:51.000,900.226001698402,ID900.226001698402,Yes,Yes
1,9,01/12/2022,13:42:02.000,900.226001698402,ID900.226001698402,Yes,Yes
1,9,01/12/2022,13:42:12.000,900.226001698402,ID900.226001698402,Yes,Yes
1,9,01/12/2022,13:42:45.000,900.226001698521,ID900.226001698521,No,Yes
1,9,01/12/2022,13:42:55.000,900.226001698521,ID900.226001698521,Yes,Yes
1,10,01/12/2022,13:43:40.000,989.002009085551,ID989.002009085551,Yes,Yes
1,10,01/12/2022,13:43:47.000,900.226001698358,ID900.226001698358,No,Yes
1,10,01/12/2022,13:43:59.000,900.226001698358,ID900.226001698358,Yes,Yes
1,10,01/12/2022,13:44:30.000,900.226001697504,ID900.226001697504,No,No
1,10,01/12/2022,13:44:44.000,900.226001697504,ID900.226001697504,Yes,No
1,10,01/12/2022,13:45:10.000,900.226001698907,ID900.226001698907,No,No
1,10,01/12/2022,13:45:26.000,900.226001698133,ID900.226001698133,No,No
1,10,01/12/2022,13:45:41.000,900.226001697212,ID900.226001697212,No,No
1,10,01/12/2022,13:45:49.000,900.226001698133,ID900.226001698133,Yes,No
1,10,01/12/2022,13:45:59.000,900.226001697238,ID900.226001697238,No,No
1,10,01/12/2022,13:46:22.000,900.226001697238,ID900.226001697238,Yes,No
1,10,01/12/2022,13:46:30.000,900.226001698928,ID900.226001698928,No,No
1,10,01/12/2022,13:46:42.000,900.226001698928,ID900.226001698928,Yes,No
1,10,01/12/2022,13:47:08.000,900.226001698353,ID900.226001698353,No,Yes
1,10,01/12/2022,13:47:19.000,900.226001698353,ID900.226001698353,Yes,Yes
1,10,01/12/2022,13:47:29.000,900.226001167810,ID900.226001167810,No,Yes
1,10,01/12/2022,13:47:40.000,900.226001167810,ID900.226001167810,Yes,Yes
1,10,01/12/2022,13:47:51.000,900.226001167810,ID900.226001167810,Yes,Yes
1,10,01/12/2022,13:48:12.000,900.226001698998,ID900.226001698998,No,No
1,10,01/12/2022,13:48:17.000,900.226001698388,ID900.226001698388,No,Yes
1,10,01/12/2022,13:48:27.000,900.226001698397,ID900.226001698397,No,No
1,10,01/12/2022,13:48:31.000,900.226001698388,ID900.226001698388,Yes,Yes
1,10,01/12/2022,13:48:42.000,900.226001698388,ID900.226001698388,Yes,Yes
1,10,01/12/2022,13:48:54.000,900.226001698936,ID900.226001698936,No,Yes
1,10,01/12/2022,13:49:06.000,900.226001698936,ID900.226001698936,Yes,Yes
1,10,01/12/2022,13:50:07.000,900.226001698936,ID900.226001698936,Yes,Yes
1,10,01/12/2022,13:50:22.000,900.226001167932,ID900.226001167932,No,Yes
1,10,01/12/2022,13:50:28.000,900.226001698927,ID900.226001698927,No,No
1,10,01/12/2022,13:50:41.000,900.226001697233,ID900.226001697233,No,No
1,10,01/12/2022,13:51:01.000,900.226001167785,ID900.226001167785,No,Yes
1,10,01/12/2022,13:51:11.000,900.226001167785,ID900.226001167785,Yes,Yes
1,10,01/12/2022,13:51:28.000,900.226001167785,ID900.226001167785,Yes,Yes
1,10,01/12/2022,13:51:45.000,900.226001167881,ID900.226001167881,No,Yes
1,11,01/12/2022,13:51:54.000,989.002009085551,ID989.002009085551,Yes,Yes
1,11,01/12/2022,13:51:57.000,900.226001167881,ID900.226001167881,Yes,Yes
1,11,01/12/2022,13:52:03.000,900.226001698988,ID900.226001698988,No,Yes
1,11,01/12/2022,13:52:09.000,900.226001167881,ID900.226001167881,Yes,Yes
1,11,01/12/2022,13:52:20.000,900.226001698988,ID900.226001698988,Yes,Yes
1,11,01/12/2022,13:52:22.000,900.226001167881,ID900.226001167881,Yes,Yes
1,11,01/12/2022,13:52:32.000,900.226001698988,ID900.226001698988,Yes,Yes
1,11,01/12/2022,13:52:45.000,900.226001698988,ID900.226001698988,Yes,Yes
1,11,01/12/2022,13:52:55.000,900.226001698988,ID900.226001698988,Yes,Yes
1,11,01/12/2022,13:53:12.000,900.226001698318,ID900.226001698318,No,Yes
1,11,01/12/2022,13:53:13.000,900.226001167715,ID900.226001167715,No,Yes
1,11,01/12/2022,13:53:23.000,900.226001698318,ID900.226001698318,Yes,Yes
1,11,01/12/2022,13:53:27.000,900.226001167715,ID900.226001167715,Yes,Yes
1,11,01/12/2022,13:53:33.000,900.226001698318,ID900.226001698318,Yes,Yes
1,11,01/12/2022,13:54:10.000,900.226001167899,ID900.226001167899,No,No
1,11,01/12/2022,13:54:27.000,900.226001167702,ID900.226001167702,No,Yes
1,11,01/12/2022,13:54:28.000,900.226001167711,ID900.226001167711,No,Yes
1,11,01/12/2022,13:54:39.000,900.226001167711,ID900.226001167711,Yes,Yes
1,11,01/12/2022,13:54:46.000,900.226001167702,ID900.226001167702,Yes,Yes
1,11,01/12/2022,13:54:54.000,900.226001167711,ID900.226001167711,Yes,Yes
1,11,01/12/2022,13:55:02.000,900.226001167702,ID900.226001167702,Yes,Yes
1,11,01/12/2022,13:55:05.000,900.226001167711,ID900.226001167711,Yes,Yes
1,12,01/12/2022,13:55:27.000,989.002009085551,ID989.002009085551,Yes,Yes
1,12,01/12/2022,13:55:38.000,900.226001698493,ID900.226001698493,No,Yes
1,12,01/12/2022,13:55:48.000,900.226001698493,ID900.226001698493,Yes,Yes
1,12,01/12/2022,13:56:15.000,900.226001698156,ID900.226001698156,No,No
1,12,01/12/2022,13:56:17.000,900.226001697230,ID900.226001697230,No,Yes
1,12,01/12/2022,13:56:25.000,900.226001698156,ID900.226001698156,Yes,No
1,12,01/12/2022,13:56:29.000,900.226001697230,ID900.226001697230,Yes,Yes
1,12,01/12/2022,13:56:39.000,900.226001697230,ID900.226001697230,Yes,Yes
1,12,01/12/2022,13:56:50.000,900.226001697230,ID900.226001697230,Yes,Yes
1,12,01/12/2022,13:57:10.000,900.226001698918,ID900.226001698918,No,Yes
1,12,01/12/2022,13:57:35.000,900.226001167731,ID900.226001167731,No,No
1,12,01/12/2022,13:57:45.000,900.226001167887,ID900.226001167887,No,Yes
